CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50106117,CITY CAFE,Brooklyn,4919,18 AVENUE,11204,9179741705,Jewish/Kosher,3/18/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,44,Z,3/18/24,4/23/24,Cycle Inspection / Re-inspection,40.6281516,-73.98113699,312,44,047400,3129240,3054560001,BK88,
40388091,MASAWA,Manhattan,1239,AMSTERDAM AVENUE,10027,2126630505,Ethiopian,9/27/23,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,13,A,9/27/23,4/23/24,Cycle Inspection / Re-inspection,40.80989871,-73.95878571,109,07,020701,1059521,1019630030,MN09,
50091303,CAFE PARIS,Brooklyn,4424,16 AVENUE,11204,7188532353,Jewish/Kosher,2/6/20,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,13,A,2/6/20,4/23/24,Cycle Inspection / Initial Inspection,40.63365789,-73.98279274,312,44,023200,3128325,3054310046,BK88,
50125757,CROWN PALACE,Staten Island,1267,FOREST AVENUE,10302,6462626679,Chinese,4/11/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7,A,4/11/24,4/23/24,Cycle Inspection / Re-inspection,40.62634796,-74.13191867,501,49,020100,5095250,5010420001,SI07,
50121436,MINI CAFE,Queens,16210,JAMAICA AVE,11432,7182978885,Spanish,3/20/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9,A,3/20/23,4/23/24,Pre-permit (Operational) / Re-inspection,40.70435618,-73.79759567,412,27,044601,4215623,4101020004,QN61,
40787054,BOSTON MARKET,Queens,10624,71 AVENUE,11375,7182610500,American,7/29/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,11,A,7/29/21,4/23/24,Cycle Inspection / Initial Inspection,40.71983096,-73.84498409,406,29,073700,4077914,4032550012,QN17,
50069910,TASTE KITCHEN,Manhattan,316,WEST   36 STREET,10018,6466660531,Chinese,5/11/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,5/11/23,4/23/24,Cycle Inspection / Initial Inspection,40.7537812,-73.99327933,104,03,011100,1013578,1007590053,MN13,
50142168,ACCRA RESTAURANT EXPRESS,Manhattan,63,EAST  125 STREET,10035,6469644408,African,10/2/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,15,N,,4/23/24,Pre-permit (Non-operational) / Initial Inspection,40.80550163,-73.94008087,111,09,019800,1054037,1017500026,MN34,
50105954,LUNA PIZZA,Bronx,4006,BOSTON ROAD,10475,3472107081,Pizza,3/27/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,21,,,4/23/24,Cycle Inspection / Initial Inspection,40.88444413,-73.83285597,212,12,046202,2072483,2052630059,BX13,
50044646,3 GREEKS GRILL,Queens,3561,VERNON BLVD,11106,7187298900,Greek,1/26/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,20,,,4/23/24,Cycle Inspection / Initial Inspection,40.76271741,-73.94200386,401,26,003900,4003905,4003280001,QN68,
50128208,HO LEE,Manhattan,2493,7 AVENUE,10030,6463355592,Chinese,4/3/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,4/3/23,4/23/24,Pre-permit (Operational) / Re-inspection,40.82137131,-73.93925358,110,09,023200,1060159,1020130003,MN03,
50111541,BEATNIC,Manhattan,240,LAFAYETTE STREET,10012,9174637453,Vegan,4/10/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10,A,4/10/24,4/23/24,Cycle Inspection / Initial Inspection,40.72270515,-73.99696954,102,01,004300,1007552,1004960032,MN24,
50066588,CAP'T LOUI,Manhattan,3147,BROADWAY,10027,2122226608,Seafood,12/14/22,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,12/14/22,4/23/24,Cycle Inspection / Initial Inspection,40.81413409,-73.95943335,109,07,021100,1059851,1019930079,MN09,
50039842,DELUXE GREEN BO,Manhattan,66,BAYARD STREET,10013,2126252359,Chinese,3/27/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,73,C,3/27/24,4/23/24,Cycle Inspection / Re-inspection,40.71550565,-73.99813142,103,01,002900,1079427,1002010032,MN27,
50019242,RICHNESS RESTAURANT,Brooklyn,1063,RUTLAND ROAD,11212,7189752561,Caribbean,12/3/19,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,13,A,12/3/19,4/23/24,Cycle Inspection / Re-inspection,40.66375019,-73.92472739,317,41,088400,3099506,3045980046,BK96,
40985219,O LAVRADOR RESTAURANT,Queens,13840,101 AVENUE,11435,7185261526,Portuguese,3/14/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,3/14/23,4/23/24,Cycle Inspection / Initial Inspection,40.69453977,-73.8097892,412,27,020600,4214346,4100180017,QN61,
41395424,CITI FIELD STAND 431,Queens,000,126TH & ROOSEVELT AVENUE,,7185958100,American,6/5/19,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,4,A,6/5/19,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,4,,
41193113,SOSAKU JAPANESE RESTAURANT,Brooklyn,6328,AVENUE N,11234,7189682800,Japanese,4/27/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,24,,,4/23/24,Cycle Inspection / Initial Inspection,40.61959725,-73.91628363,318,46,069800,3340561,3083850044,BK45,
40396421,CAFFE ROMA,Manhattan,385,BROOME STREET,10013,2122268413,Bakery Products/Desserts,3/14/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,26,,,4/23/24,Cycle Inspection / Initial Inspection,40.72044345,-73.99672072,102,01,004100,1006980,1004710036,MN24,
50018845,PASTICCERIA ROCCO,Brooklyn,9402,4 AVENUE,11209,7187452590,Coffee/Tea,4/24/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,10,A,4/24/23,4/23/24,Cycle Inspection / Initial Inspection,40.61657972,-74.030901,310,47,005400,3155495,3061140032,BK31,
50124939,GANDA SUSHI,Queens,8008,SURREY PL,11432,6467061421,Japanese,2/9/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,10,A,2/9/23,4/23/24,Pre-permit (Operational) / Re-inspection,40.72634064,-73.78931345,408,24,127700,4155424,4072270036,QN06,
50055957,LAO JIE HOT POT,Brooklyn,811,53 STREET,11220,7184310026,Chinese,9/26/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,19,B,9/26/23,4/23/24,Cycle Inspection / Re-inspection,40.63917883,-74.00502641,312,43,010600,3138502,3056580074,BK34,
40395343,FELIX,Manhattan,340,WEST BROADWAY,10013,2124310021,French,2/16/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,10,A,2/16/23,4/23/24,Cycle Inspection / Initial Inspection,40.72256515,-74.00362212,102,01,004700,1007113,1004760081,MN24,
50059272,SISTERS,Brooklyn,900,FULTON STREET,11238,3477632537,American,8/2/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,27,,,4/23/24,Cycle Inspection / Initial Inspection,40.68310383,-73.96515604,302,35,019900,3399792,3020120032,BK69,
50047752,COMFORT STOP,Brooklyn,8503,18 AVENUE,11214,7182560082,Bakery Products/Desserts,2/15/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,2/15/23,4/23/24,Cycle Inspection / Re-inspection,40.60771272,-74.00205643,311,38,027800,3165759,3063440007,BK28,
41203218,DA NOI II,Staten Island,138142,FINGERBOARD ROAD,,7187201650,Italian,5/18/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,9,A,5/18/23,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,5,,
50081523,HANDSOME RICE,Manhattan,133,EAST   31 STREET,10016,9179652944,Korean,3/4/20,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,23,,,4/23/24,Cycle Inspection / Initial Inspection,40.74459866,-73.98133486,105,02,007200,1018465,1008870021,MN20,
50073904,PORTAL LATINO RESTAURANT,Brooklyn,217,SMITH STREET,11201,7182461416,Spanish,5/9/22,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,26,,,4/23/24,Cycle Inspection / Initial Inspection,40.68442908,-73.99200275,306,39,006900,3006414,3004030005,BK38,
50122395,SUSHI ISLAND,Queens,8718,QUEENS BLVD,11373,7188033033,Japanese,9/20/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,35,,,4/23/24,Pre-permit (Operational) / Initial Inspection,40.73531029,-73.87556867,404,25,047500,4437595,4028530011,QN29,
50099743,DIG INN,Manhattan,275,7 AVENUE,10001,2125457867,American,8/16/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,14,,,4/23/24,Cycle Inspection / Initial Inspection,40.74573637,-73.99443501,104,03,009100,1015000,1008010001,MN13,
50034742,BLUJEEN,Manhattan,2143,FREDERICK DOUGLASS BOULEVARD,,2122561073,American,2/5/20,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,29,C,2/5/20,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
40387399,ARTURO'S PIZZA,Bronx,5189A,BROADWAY,10463,7185623820,Pizza,3/10/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,10,A,3/10/22,4/23/24,Cycle Inspection / Re-inspection,40.87437775,-73.91012184,208,10,030900,1064668,2022150528,MN01,
50111245,CROSBY PIZZA STOP,Bronx,1731,CROSBY AVENUE,10461,7188238980,Pizza,1/5/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12,A,1/5/22,4/23/24,Pre-permit (Operational) / Re-inspection,40.84591715,-73.83155799,210,13,026602,2046098,2041690025,BX10,
50093418,NBHD BRULEE,Manhattan,2620,FREDERICK DOUGLASS BOULEVARD,,9172072081,Coffee/Tea,2/3/20,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,2/3/20,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
50086119,SUNRISE ZOU,Queens,9607,101ST AVE,11416,7188351302,Chinese,5/12/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,18,,,4/23/24,Cycle Inspection / Initial Inspection,40.68461522,-73.84478503,409,32,003800,4188648,4090710114,QN53,
50067032,DEATH AVENUE: TAP ROOM,Manhattan,,10TH AVE,10001,2126958080,American,6/14/22,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,11,A,6/14/22,4/23/24,Cycle Inspection / Initial Inspection,,,,,,,,,
50000628,JUMBO HOUSE,Brooklyn,942,UTICA AVENUE,11203,7183858886,Chinese,10/12/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7,A,10/12/22,4/23/24,Cycle Inspection / Initial Inspection,40.64977448,-73.93018126,317,45,086000,3103712,3047210008,BK91,
50046283,HUMMUS KITCHEN,Manhattan,444,3 AVENUE,10016,2126960055,Jewish/Kosher,1/2/24,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,13,A,1/2/24,4/23/24,Cycle Inspection / Initial Inspection,40.74362124,-73.97966425,106,02,007200,1018324,1008860048,MN20,
50017199,SEK'END SUN,Queens,32-11,BROADWAY,11106,9177450745,American,4/10/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,36,,,4/23/24,Cycle Inspection / Initial Inspection,40.76151594,-73.9244035,401,22,006100,4008403,4006140005,QN70,
41589520,FAIRFIELD INN,Manhattan,330,WEST   40 STREET,10018,2129679494,American,2/9/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,2/9/23,4/23/24,Cycle Inspection / Re-inspection,40.75637216,-73.99176668,104,03,011500,1087265,1007630056,MN15,
50111915,ROSE WOLF COFFEE,Brooklyn,427,GRAHAM AVENUE,11211,9178067548,Coffee/Tea,8/18/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,9,A,8/18/21,4/23/24,Pre-permit (Operational) / Initial Inspection,40.71778707,-73.94493265,301,34,049700,3068194,3027390023,BK90,
50132654,TINY OMAKASE,Brooklyn,173,GREENPOINT AVENUE,11222,3478910166,Japanese,9/7/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,7,A,9/7/23,4/23/24,Pre-permit (Operational) / Initial Inspection,40.73033416,-73.95278792,301,33,057500,3064775,3025590047,BK76,
41166072,QUIJOTE TAPAS BAR,Queens,3106,36 AVENUE,11106,9293076007,Latin American,12/6/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,10,A,12/6/23,4/23/24,Cycle Inspection / Initial Inspection,40.75649633,-73.92960334,401,26,005100,4007902,4006000028,QN68,
50083409,ADDA,Queens,3131,THOMSON AVE,11101,7184333888,Indian,1/17/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,1/17/23,4/23/24,Cycle Inspection / Re-inspection,40.74481741,-73.93429285,402,26,017900,4003519,4002750006,QN31,
41209002,TRATTORIA 35,Queens,21315,35 AVENUE,11361,7183523800,Italian,2/10/22,Violations were cited in the following area(s).,20F,Current letter grade sign not posted.,Not Critical,,,,4/23/24,Administrative Miscellaneous / Initial Inspection,40.76888333,-73.77422845,411,19,109700,4135871,4061120047,QN46,
40537494,810 DELI & CAFE,Manhattan,810,7 AVENUE,10019,2125414136,American,8/22/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,43,,,4/23/24,Cycle Inspection / Initial Inspection,40.76263186,-73.98214562,105,03,013100,1024828,1010240038,MN17,
50095131,DOMINO'S,Brooklyn,2196,PITKIN AVENUE,11207,7184954441,Pizza,4/3/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,11,A,4/3/23,4/23/24,Cycle Inspection / Initial Inspection,40.67251514,-73.89156256,305,42,115200,3083986,3037420023,BK82,
50082183,PANDA GARDEN,Queens,10718,CORONA AVE,11368,7186998781,Chinese,3/27/24,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,3/27/24,4/23/24,Cycle Inspection / Re-inspection,40.74355981,-73.85575155,404,21,043900,4047749,4019420048,QN25,
50071943,RAKU RESTAURANT,Manhattan,48,MACDOUGAL STREET,10012,2129894797,Japanese,3/12/24,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,3/12/24,4/23/24,Cycle Inspection / Re-inspection,40.72731362,-74.00273843,102,03,004900,1008063,1005180006,MN24,
40845101,AZALEA,Manhattan,224,WEST   51 STREET,10019,2122620105,Italian,3/9/22,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,19,,,4/23/24,Cycle Inspection / Initial Inspection,40.76227259,-73.98416361,105,03,013100,1024812,1010220043,MN17,
50056770,ESSEN,Manhattan,519,8 AVENUE,10018,2122901515,American,7/28/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,38,,,4/23/24,Cycle Inspection / Initial Inspection,40.75337768,-73.99260442,104,03,011100,1013576,1007590045,MN13,
41690699,NEW OCEAN,Manhattan,393,LENOX AVENUE,10027,2122899293,Chinese,5/4/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,30,,,4/23/24,Cycle Inspection / Initial Inspection,40.81080336,-73.94328035,110,09,022400,1079507,1019140034,MN03,
50120134,JOLLIBEE,Manhattan,1500,BROADWAY,10036,6462403385,Other,8/24/22,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,19,,,4/23/24,Pre-permit (Operational) / Initial Inspection,40.75684919,-73.98597329,105,04,011900,1022610,1009960001,MN17,
41303086,JUST SALAD,Manhattan,98,MAIDEN LANE,10038,2122441111,Salads,2/14/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13,A,2/14/22,4/23/24,Cycle Inspection / Initial Inspection,40.70688413,-74.00702611,101,01,000700,1001014,1000420001,MN25,
50088970,CHINA XIANG,Manhattan,360,WEST   42 STREET,10036,2129676088,Chinese,6/1/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,0,,,4/23/24,Cycle Inspection / Initial Inspection,40.75791195,-73.99144162,104,03,011500,1024929,1010320061,MN15,
40390973,MIRACALI BAKERY II,Queens,7604,ROOSEVELT AVENUE,11372,7187797175,Bakery Products/Desserts,2/9/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,,,4/23/24,Cycle Inspection / Initial Inspection,40.74703912,-73.88940892,404,25,026700,4036750,4014870001,QN29,
41184659,LA CASA DEL MOFONGO,Manhattan,14471451,SAINT NICHOLAS AVENUE,,2127401200,Latin American,5/4/22,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,0,A,5/4/22,4/23/24,Cycle Inspection / Re-inspection,0,0,,,,,1,,
41664398,SUNRISE,Queens,3320,BROADWAY,11106,7189563223,Chinese,6/26/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,13,A,6/26/23,4/23/24,Cycle Inspection / Initial Inspection,40.76110092,-73.92355929,401,22,005900,4008771,4006210040,QN70,
50075574,XIN BAO,Queens,13742,GUY R BREWER BLVD,11434,7189778989,Chinese,7/6/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,26,,,4/23/24,Cycle Inspection / Initial Inspection,40.67163069,-73.77436786,412,28,029400,4266757,4123090017,QN02,
50127996,AVO TACO,Queens,21297,26TH AVE,11360,6317144436,Tex-Mex,8/30/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,21,N,,4/23/24,Pre-permit (Operational) / Initial Inspection,40.77836903,-73.7769331,407,19,099704,4537937,4059000002,QN47,
41629073,LAS TIAS BAKERY,Queens,74-01,METROPOLITAN AVENUE,11379,7184163888,Spanish,3/14/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,29,,,4/23/24,Cycle Inspection / Initial Inspection,40.71284169,-73.87820432,405,30,065703,4071753,4030650012,QN21,
50046323,VINNIE'S PIZZERIA,Manhattan,1603,2 AVENUE,10028,2125850400,Pizza,3/10/22,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,11,A,3/10/22,4/23/24,Cycle Inspection / Re-inspection,40.77607296,-73.95306588,108,05,013800,1048705,1015290022,MN32,
50042187,DAVID'S CAFE,Manhattan,110,SAINT MARKS PLACE,10009,6466783206,French,6/16/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7,A,6/16/23,4/23/24,Cycle Inspection / Initial Inspection,40.72732086,-73.98468428,103,02,003200,1005828,1004350019,MN22,
50069925,KHAO NOM,Queens,4206,77TH ST,11373,3479444257,Thai,5/20/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,0,,,4/23/24,Cycle Inspection / Initial Inspection,40.74316482,-73.88792493,404,25,048300,4037790,4015220010,QN50,
50108113,KAUSA,Manhattan,745,9 AVENUE,10019,6465970651,Peruvian,2/23/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,20,,,4/23/24,Cycle Inspection / Initial Inspection,40.76368669,-73.98880925,104,03,013300,1026685,1010600031,MN15,
41410205,LOCANDA VERDE,Manhattan,377,GREENWICH STREET,10013,2129253797,Italian,3/7/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,12,A,3/7/23,4/23/24,Cycle Inspection / Re-inspection,40.71977607,-74.01022736,101,01,003900,1087575,1001870016,MN24,
50009820,NEW CHINA RESTAURANT,Bronx,240,EAST  174 STREET,10457,7185837666,Chinese,7/6/22,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,24,,,4/23/24,Cycle Inspection / Initial Inspection,40.84469932,-73.9071116,204,15,022902,2007368,2027920037,BX41,
50100876,TWO WHEELS,Manhattan,426,AMSTERDAM AVENUE,10024,6464298661,Asian/Asian Fusion,12/1/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,21,,,4/23/24,Pre-permit (Operational) / Initial Inspection,40.78411976,-73.97762243,107,06,016700,1032666,1012280032,MN12,
41503108,TULCINGO RESTAURANT,Queens,40364040,NATIONAL STREET,,7186398880,Mexican,4/12/22,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,33,,,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,4,,
50072048,THE PHO 2,Manhattan,273,8 AVENUE,10011,9172617592,Asian/Asian Fusion,7/26/22,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,0,,,4/23/24,Cycle Inspection / Initial Inspection,40.74569532,-73.99820275,104,03,009300,1078540,1007470001,MN13,
50143804,CREAMPANDA,Brooklyn,4505,8 AVENUE,11220,3472566022,Chinese,1/23/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,29,,,4/23/24,Pre-permit (Operational) / Initial Inspection,40.64380664,-74.00089365,312,38,009400,3011762,3007510009,BK34,
50009079,TING FAI CUISINE,Brooklyn,1962,86 STREET,11214,7183733888,Chinese,10/3/22,Establishment re-opened by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,9,C,10/3/22,4/23/24,Cycle Inspection / Reopening Inspection,40.60497618,-73.9988908,311,38,028400,3166862,3063740048,BK28,
50005685,KING'S WOK,Brooklyn,261,TROY AVENUE,11213,7183631187,Chinese,3/19/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,3/19/24,4/23/24,Cycle Inspection / Re-inspection,40.67032285,-73.93653304,308,35,035300,3037003,3013830004,BK61,
50102013,CHINA DRAGON,Brooklyn,4320,18 AVENUE,11218,9176246620,Chinese,5/19/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,10,A,5/19/22,4/23/24,Cycle Inspection / Initial Inspection,40.63112057,-73.97638055,314,40,047800,3127541,3054080045,BK88,
50048523,GOLD SOUNDS,Brooklyn,44,WILSON AVENUE,11237,6462728977,American,3/7/23,Establishment re-opened by DOHMH.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,9,Z,3/7/23,4/23/24,Cycle Inspection / Reopening Inspection,40.70277015,-73.92938619,304,34,042500,3071959,3031570031,BK78,
50046988,ORWASHERS,Manhattan,440,AMSTERDAM AVENUE,10024,6464617929,Bakery Products/Desserts,1/21/22,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12,A,1/21/22,4/23/24,Cycle Inspection / Initial Inspection,40.78460551,-73.97726838,107,06,016700,1032681,1012290029,MN12,
41709869,DINOSAUR BAR-B-QUE,Brooklyn,604,UNION STREET,11215,3474297030,Barbecue,4/10/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,4/10/24,4/23/24,Cycle Inspection / Re-inspection,40.67776667,-73.98399989,306,39,011900,3007368,3004410021,BK37,
50072484,MIMMO,Manhattan,1690,YORK AVENUE,10128,9174095820,Italian,1/7/20,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,23,,,4/23/24,Cycle Inspection / Initial Inspection,40.77763704,-73.94585785,108,05,014402,1051363,1015850051,MN32,
50044258,POPEYES,Bronx,C16,Concourse Plaza,,9174719302,Chicken,8/16/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10,A,8/16/23,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,2,,
41495141,EL CERRITO RESTAURANT,Bronx,11841186,ELDER AVENUE,,7183288553,Mexican,5/2/22,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,6,,,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,2,,
50073245,ANGELETTO,Manhattan,890,2 AVENUE,10017,2122351227,Italian,4/15/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,38,,,4/23/24,Cycle Inspection / Initial Inspection,40.75324491,-73.96968865,106,04,009000,1038905,1013400001,MN19,
50000891,LA MESITA,Brooklyn,1513,MYRTLE AVENUE,11237,7183668700,Mexican,3/18/22,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,24,,,4/23/24,Cycle Inspection / Initial Inspection,40.69914016,-73.91518078,304,37,043300,3400854,3033180001,BK77,
41701232,POLLOS DONA MARIA,Queens,9303,JAMAICA AVENUE,11421,7188054000,Spanish,1/11/20,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,55,,,4/23/24,Cycle Inspection / Initial Inspection,40.69379756,-73.85180634,409,32,002200,4182392,4088800042,QN53,
50128693,HIBACHI GRILL CONCOURSE,Bronx,216,EAST  161 STREET,10451,7185901627,Chinese,7/21/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,28,,,4/23/24,Pre-permit (Operational) / Initial Inspection,40.82619332,-73.92045987,204,16,006100,2002456,2024430090,BX14,
50134573,WEN ZHOU FOOD INC.,Queens,4136,MAIN ST,11355,3473996198,Chinese,8/14/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,21,B,8/14/23,4/23/24,Pre-permit (Operational) / Re-inspection,40.75720025,-73.82901827,407,20,084900,4432133,4050420038,QN22,
50106128,AFTERNOON,Manhattan,33,WEST   32 STREET,10001,3475426323,Korean,2/15/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,24,B,2/15/23,4/23/24,Cycle Inspection / Re-inspection,40.74759392,-73.98653104,105,04,007600,1015846,1008340022,MN17,
50073789,FAMOSA PIZZA,Bronx,621,EAST  187 STREET,10458,9176881313,Pizza,1/5/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,1/5/23,4/23/24,Cycle Inspection / Re-inspection,40.85515223,-73.88676309,206,15,038900,2012223,2030760028,BX06,
40652017,PIZZA D'AMORE,Brooklyn,8949,BAY PARKWAY,11214,7182664433,Pizza,1/7/22,Establishment re-opened by DOHMH.,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,2,P,1/7/22,4/23/24,Cycle Inspection / Reopening Inspection,40.59522121,-74.00077057,311,43,029400,3345607,3064910011,BK28,
50107021,SUPER CHINA P RESTAURANT,Queens,4720,30TH AVE,11103,6467155678,Chinese,2/27/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,2/27/23,4/23/24,Cycle Inspection / Re-inspection,40.76114258,-73.90916342,401,22,015100,4013384,4007290046,QN70,
